,guuid,source,sampleid,plate_code
131,0dba3329-df7a-4a0d-8364-95104b640037,OXFORD,L75309,OX1364_Ecol_Oxf_BLC
134,0e523d1c-0f7b-47d8-9e6d-a96c6554dffa,HICF,HICF832,OX58_MIXED
135,0e624267-9f5f-4a03-bb74-621a6fb66934,OXFORD,L16824,OX274_Ecol
136,0e8fba72-8449-46ce-b62f-5ac5b8061645,OXFORD,H44055,OX289_Ecol
137,0e95a104-4d3d-4b73-94a5-7651ca57592c,APHA,MSG04-C11,OX404_Ecol
138,0e98800f-9886-4faa-ae79-85665dced48d,HICF,HICF49_I1_E1,361_Ecol_batch15
139,0ea7b340-9e49-4233-a794-21770567ee50,APHA,MSG43-C17,OX408_Ecol
140,0ed8195d-73ea-425a-a45b-9b4ba89b85a3,HICF,HICF247_I1_E1,362_Mixd_batch35
141,0edf73c5-02d8-432f-951d-8d944d4dc2fc,OXFORD,L88833,OX280_Ecol
142,0ef06eaa-f370-4f40-ab5c-8f59c201466e,APHA,MSG57-C11,OX1173_ECOL_APHA_Molsig
143,0efc7b1e-fdd3-4c54-83b3-8acfe49c67f4,OXFORD,L73581,OX1364_Ecol_Oxf_BLC
144,0f041651-f6e2-48df-bd2e-e6b51ec22ed4,OXFORD,L13755,OX291_Ecol
145,0f117678-c4fb-4bf5-8353-e8c3d5777d6f,OXFORD,L43261,OX290_Ecol
146,0f1c8378-5429-4c60-ad22-9036262c2504,APHA,MSG33-C09,OX407_Ecol
147,0f22654a-dc2b-4282-84f7-3870967971d5,OXFORD,L37955,OX1366_Ecol_Oxf_BLC
148,0f5b24e3-d30f-4af2-be5a-51d408291940,OXFORD,X42687,OX319_Ecol
149,0fa661b6-271e-4201-aaa3-8739dfbe5c0f,HICF,HICF195_I1_E1,362_Mixd_batch35
150,0fdf0d29-939f-4a6e-8769-6433ee17f0b1,APHA,MSG41-C14,OX408_Ecol
151,0fe9d25a-9762-455d-9e9e-c4f6ae74da97,HICF,HICF240_I1_E1,362_Mixd_batch35
152,101d836d-5a74-409b-ab80-133100ca53f8,HICF,HICF70_I1_E1,361_Ecol_batch15
153,1088d896-99e3-41a9-97ea-cad622749474,OXFORD,L783,OX280_Ecol
154,116728ac-c5bc-48d0-92aa-be006e960c63,OXFORD,H58906,OX1364_Ecol_Oxf_BLC
155,11823b11-27f3-483e-972f-af5374fd534b,APHA,MSG33-C05,OX407_Ecol
156,11c06c3b-ce5e-4b3a-8cb7-d56a2fe34128,APHA,MSG46-C04,OX410_Ecol
157,11c0ca61-3084-4173-b383-c168687a362e,OXFORD,L86453,OX280_Ecol
158,1215eb4a-ce44-4d93-a303-a9ac6fe60579,OXFORD,L66900,OX1364_Ecol_Oxf_BLC
159,12215ec0-8272-4614-84ef-3f7582428119,OXFORD,L92611,OX1365_Ecol_Oxf_BLC
160,1228cb36-d064-4974-8c85-65e6d2bca049,APHA,MSG03-C10,OX404_Ecol
161,12572355-a57a-46d6-a976-67ac3ff6f964,HICF,HICF197_I1_E1,362_Mixd_batch35
164,13988ef8-d9e1-47bb-81f6-ad5aaea12f6e,OXFORD,L42523,OX1366_Ecol_Oxf_BLC
165,13abce94-ed36-4549-ad14-9ccb136262a7,APHA,MSG28-C12,OX407_Ecol
166,13d3ec82-fdc0-4640-98ce-57d28483ea4c,OXFORD,S46349,OX319_Ecol
167,14051895-1e3c-40aa-b07a-9a600c743253,OXFORD,L17523,OX291_Ecol
168,140524ca-8b51-4fd0-a57f-de1f93692a66,APHA,MSG07-C14,OX404_Ecol
169,14072609-f43f-482d-a7d4-fae5bd9510f0,OXFORD,L84435,OX1364_Ecol_Oxf_BLC
170,140c13ed-5849-4b4a-9d42-3e74cc0488a7,HICF,HICF13_I1_E1,307_Mixd_batch32
171,142b339e-89f3-4a1b-82cc-272ba8312b47,APHA,MSG26-C10,OX406_Ecol
174,1473f11c-f093-4226-b43d-769fbe75a462,OXFORD,L16821,OX274_Ecol
175,1476921a-ea8e-43cd-860e-95162df00594,OXFORD,L64677,OX1364_Ecol_Oxf_BLC
176,14f54dbb-eed0-452b-9d3d-69c89674a941,OXFORD,L5262,OX1365_Ecol_Oxf_BLC
177,1508004e-fd9a-4167-b5d6-fb9b819a541d,OXFORD,L23774,OX1366_Ecol_Oxf_BLC
179,1588f646-def5-457c-aae4-1e24b8be1986,APHA,MSG12-C17,OX404_Ecol
180,15b258e4-8a83-45ee-b5eb-d63bd7eddcb2,HICF,HICF117_I1_E1,361_Ecol_batch15
182,15f62f5b-f0f0-4ae5-b6b4-372a4f3e17b7,OXFORD,S50153,OX300_Ecol
183,1620575a-d061-4570-bcb0-b42d8c6df742,APHA,MSG31-C11,OX1173_ECOL_APHA_Molsig
184,162dfb1c-5f48-428e-8a37-fe2b0ba74e1d,HICF,HICF811,OX58_MIXED
185,168d8c17-4c5c-4df2-8082-4e8170087c78,OXFORD,L83332,OX280_Ecol
186,16aa98d7-4d85-4d87-8d96-38e0e20455af,APHA,MSG02-C12,OX404_Ecol
187,1711d917-a0f7-4cd6-bfb6-87862f3518f4,OXFORD,L34365,OX299_Ecol
188,1753ee48-e1e7-46c5-b692-0a947f0ceb00,APHA,MSG36-C13,OX407_Ecol
189,17597a5b-feae-4bdc-a1db-4dac0b2c603c,OXFORD,L18991,OX274_Ecol
190,175db4fe-65a1-403d-9829-ba79f4acde2b,OXFORD,L2903,OX280_Ecol
191,176a5ef0-a830-4cda-9002-1a8fca08d1ca,OXFORD,L9720,OX291_Ecol
192,1775a203-1993-4739-bc8c-01db0c8f701f,HICF,HICF865,OX58_MIXED
193,179378b8-4ac3-4737-b16f-cbd31bf7ee16,HICF,HICF660,OX32_Ecol
194,17c8844f-fe8a-4ce7-8439-b58d2392916d,OXFORD,L23675,OX300_Ecol
195,17cfe5ec-f047-4487-9b2f-6b3a5005c16f,HICF,HICF207_I1_E1,362_Mixd_batch35
196,17f8eda0-e9fb-4662-ba09-3ab7f7b65c61,OXFORD,L98209,OX1365_Ecol_Oxf_BLC
197,18061040-784b-45f3-8254-c5b9ad8fc7db,OXFORD,L23311,OX290_Ecol
198,1814fdad-6c51-4681-9a5d-a6577a3338ab,HICF,HICF905,OX59_MIXED
200,185e8999-6e7d-4222-8105-b993fe204dfe,OXFORD,H33197,OX291_Ecol
201,187041df-e41f-4a90-b6bf-dce434cd5ebe,HICF,HICF236_I1_E1,362_Mixd_batch35
202,18741912-9c17-43df-ba96-cdc8a31e55b0,HICF,HICF577_I1_E1,375_Mixd_batch37
203,188797d1-2ee5-416c-ae97-f46207a0f842,OXFORD,L69013,OX1364_Ecol_Oxf_BLC
204,18a71f63-d35c-41b2-ac5d-e454afe3e21b,APHA,MSG36-C04,OX407_Ecol
205,18c87cda-8039-4fea-9a77-8de83b557c25,OXFORD,L58771,OX289_Ecol
206,18f1e164-8efa-4a53-80d3-933330317637,OXFORD,S48924,OX319_Ecol
207,190c8719-ca68-4cbe-96fa-0cceb26e8046,HICF,HICF828,OX58_MIXED
208,19164d19-c274-41f1-b8d5-b9d1c471fdb1,APHA,MSG45-C07,OX408_Ecol
209,19528f6b-ac7a-43b3-81cd-70b74fad8407,OXFORD,L71517,OX289_Ecol
211,198e2518-4a77-41b7-af98-b058e534c435,HICF,HICF255_I1_E1,362_Mixd_batch35
212,19a8e783-446f-4095-a583-93227a742b70,OXFORD,L34274,OX1366_Ecol_Oxf_BLC
213,19ac1ef4-26a2-4f4a-a587-aab58c10b3a6,OXFORD,L29882,OX274_Ecol
214,19b59042-86cc-4971-92ba-2cb3cc14d75f,OXFORD,L98544,OX1365_Ecol_Oxf_BLC
215,19ba4821-ea34-467f-bd64-e305ad6a3793,OXFORD,L13716,OX319_Ecol
