isolate,pattern,simulatable,contig
142b339e-89f3-4a1b-82cc-272ba8312b47,aadA15_1_DQ393783:aadA17_1_FJ460181:aadA1_4_JQ480156:aadA24_1_AM711129:ant(3'')-Ia_1_X02340,True,NODE_17_length_95435_cov_41.090407
142b339e-89f3-4a1b-82cc-272ba8312b47,aph(3'')-Ib_5_AF321551,False,
142b339e-89f3-4a1b-82cc-272ba8312b47,dfrA14_4_AF393510:dfrA14_5_DQ388123,True,NODE_63_length_18085_cov_324.693858
142b339e-89f3-4a1b-82cc-272ba8312b47,dfrA1_7_AJ400733:dfrA1_8_X00926,True,NODE_17_length_95435_cov_41.090407
6ebe24a5-f156-4486-acc1-1f7ac197fcd7,aadA11_2_AJ567827:aadA12_1_AY665771:aadA17_1_FJ460181:aadA1_2_FJ591054:aadA1_5_JX185132:aadA24_1_AM711129:ant(3'')-Ia_1_X02340,True,NODE_30_length_24274_cov_87.814564
6ebe24a5-f156-4486-acc1-1f7ac197fcd7,sul1_2_U12338:sul1_5_EU780013,True,NODE_30_length_24274_cov_87.814564
248a74c9-0555-4d4a-b0ba-cccfd9adcade,aadA11_2_AJ567827:aadA15_1_DQ393783:aadA1_3_JQ414041:aadA24_1_AM711129:aadA2_1_NC_010870:aadA2_2_JQ364967:ant(3'')-Ia_1_X02340,True,NODE_34_length_32312_cov_116.335939
4da9722e-4ff3-4c81-9174-cad586d6b2a6,qnrS1_1_AB187515:qnrS6_1_HQ631376,True,NODE_49_length_13480_cov_116.463329
4da9722e-4ff3-4c81-9174-cad586d6b2a6,aadA11_2_AJ567827:aadA12_1_AY665771:aadA23_1_AJ809407:aadA2_1_NC_010870:aadA2b_1_D43625,True,NODE_70_length_3992_cov_88.229630
4da9722e-4ff3-4c81-9174-cad586d6b2a6,aph(3'')-Ib_2_AF024602:aph(3'')-Ib_4_AF313472,True,NODE_59_length_6333_cov_105.056266
6c85c450-8b47-4820-a02c-20757572352c,blaTEM-1A_1_HM749966:blaTEM-1B_1_AY458016,True,NODE_78_length_4402_cov_317.431908
6c85c450-8b47-4820-a02c-20757572352c,aadA11_2_AJ567827:aadA15_1_DQ393783:aadA1_3_JQ414041:aadA24_1_AM711129:aadA2_1_NC_010870:aadA2_2_JQ364967:ant(3'')-Ia_1_X02340,True,NODE_67_length_8228_cov_99.466446
6c85c450-8b47-4820-a02c-20757572352c,dfrA1_10_AF203818:dfrA1_5_EU089668:dfrA1_7_AJ400733:dfrA1_8_X00926:dfrA1_9_AJ238350,True,NODE_138_length_722_cov_94.807752
aaa214ea-56e1-4d7d-bfde-22c2a0a53025,aadA11_2_AJ567827:aadA15_1_DQ393783:aadA1_3_JQ414041:aadA24_1_AM711129:aadA2_1_NC_010870:aadA2_2_JQ364967:ant(3'')-Ia_1_X02340,True,NODE_30_length_16314_cov_67.773357
67a8477b-14d4-4d6e-b1a8-c26ee15e7fc8,sul1_2_U12338:sul1_39_AY522923:sul1_5_EU780013,False,
67a8477b-14d4-4d6e-b1a8-c26ee15e7fc8,dfrA7_1_AB161450:dfrA7_5_AJ419170,True,NODE_63_length_8241_cov_42.010657
2ad214a1-95dd-47bd-bbff-b46d711b1c6f,aph(6)-Id_1_M28829:aph(6)-Id_4_CP000971,True,NODE_79_length_6811_cov_61.414612
2ad214a1-95dd-47bd-bbff-b46d711b1c6f,sul1_2_U12338:sul1_5_EU780013,True,NODE_71_length_8993_cov_59.649282
2ad214a1-95dd-47bd-bbff-b46d711b1c6f,dfrA17_1_FJ460238,False,
e5c06897-7f35-47b8-92be-68003fb7c9d7,aadA11_2_AJ567827:aadA12_1_AY665771:aadA1_3_JQ414041:aadA24_1_AM711129:aadA2_1_NC_010870:aadA2_2_JQ364967:ant(3'')-Ia_1_X02340,False,
e5c06897-7f35-47b8-92be-68003fb7c9d7,aph(6)-Id_1_M28829:aph(6)-Id_4_CP000971,True,NODE_28_length_61889_cov_84.860270
e5c06897-7f35-47b8-92be-68003fb7c9d7,sul1_2_U12338:sul1_5_EU780013,True,NODE_50_length_12900_cov_94.357249
e5c06897-7f35-47b8-92be-68003fb7c9d7,dfrA14_1_KF921535:dfrA14_5_DQ388123,True,NODE_83_length_649_cov_90.115385
5884f4d7-3dd1-42c9-9b18-8fca7b98df5a,aadA11_2_AJ567827:aadA15_1_DQ393783:aadA17_1_FJ460181:aadA1_5_JX185132:aadA24_1_AM711129:ant(3'')-Ia_1_X02340,True,NODE_60_length_13790_cov_41.181725
