trg_pattern,abx,number_of_isolates,method_agreement,overall_agreement
aadA11_2_AJ567827:aadA15_1_DQ393783:aadA1_3_JQ414041:aadA24_1_AM711129:aadA2_1_NC_010870:aadA2_2_JQ364967:aadA5_1_AF137361:ant(3'')-Ia_1_X02340|0:0:0:0:1:0:1:1|0:0:1:0:0:1:1:0|0:0:0:0:0:1:1:1|1:1:1:1:0:1:1:0,ami,6,1:2:3:4,False
blaTEM-1B_1_AY458016|0|0|1|1,blm,1,1:1:2:2,False
blaTEM-1A_1_HM749966|1|1|1|1,blm,45,1:1:1:1,True
aadA11_2_AJ567827:aadA13_1_AY713504:aadA15_1_DQ393783:aadA17_1_FJ460181:aadA1_3_JQ414041:aadA24_1_AM711129:ant(3'')-Ia_1_X02340|0:0:0:0:0:0:1|0:1:0:0:1:0:0|0:0:0:0:0:0:1|1:0:1:1:1:1:0,ami,1,1:2:1:3,False
aph(6)-Id_1_M28829:aph(6)-Id_4_CP000971|1:0|0:1|1:0|1:0,ami,41,1:2:1:1,False
sul2_13_AJ289135|1|0|1|0,sul,1,1:2:1:2,False
aadA11_2_AJ567827:aadA12_1_AY665771:aadA17_1_FJ460181:aadA1_5_JX185132:aadA24_1_AM711129:ant(3'')-Ia_1_X02340|0:0:0:0:0:1|0:0:0:1:0:0|0:0:0:1:0:0|1:1:1:1:1:0,ami,31,1:2:2:3,False
aph(3'')-Ib_4_AF313472:aph(3'')-Ib_2_AF024602|0:1|1:0|0:1|0:1,ami,7,1:2:1:1,False
dfrA1_10_AF203818:dfrA1_5_EU089668:dfrA1_7_AJ400733:dfrA1_8_X00926|0:0:0:1|0:0:0:1|0:1:0:0|1:0:1:0,tri,14,1:1:2:3,False
sul1_2_U12338:sul1_5_EU780013|0:1|1:0|0:1|1:0,sul,36,1:2:1:2,False
dfrA5_1_X12868:dfrA5_2_FJ001870|0:0|0:1|0:0|1:0,tri,1,1:2:1:3,False
aadA11_2_AJ567827:aadA13_1_AY713504:aadA15_1_DQ393783:aadA1_3_JQ414041:aadA24_1_AM711129:aadA2_1_NC_010870:aadA2_2_JQ364967:ant(3'')-Ia_1_X02340|0:0:0:0:0:1:0:1|0:1:0:1:0:0:1:0|0:0:0:0:0:0:1:1|1:0:1:1:1:0:1:0,ami,2,1:2:3:4,False
aadA12_1_AY665771:aadA13_1_AY713504:aadA17_1_FJ460181:aadA1_3_JQ414041:aadA24_1_AM711129:aadA24_1_DQ677333:ant(3'')-Ia_1_X02340|0:0:0:0:0:0:1|0:1:0:1:0:0:0|0:0:0:0:0:0:1|1:0:1:0:1:1:0,ami,1,1:2:1:3,False
dfrA17_1_FJ460238:dfrA7_4_FN563072|1:0|1:0|1:0|1:1,tri,6,1:1:1:2,False
dfrA1_5_EU089668:dfrA1_7_AJ400733:dfrA1_8_X00926|0:0:1|0:0:1|1:0:0|0:1:1,tri,9,1:1:2:3,False
blaTEM-1B_1_AY458016:blaTEM-1D_1_AF188200|1:0|1:0|1:1|1:0,blm,1,1:1:2:1,False
aph(3')-Ia_7_X62115|1|1|1|1,ami,3,1:1:1:1,True
aadA11_2_AJ567827:aadA12_1_AY665771:aadA17_1_FJ460181:aadA22_1_AM261837:aadA24_1_AM711129:ant(3'')-Ia_1_X02340|0:0:0:1:0:0|0:0:0:0:0:0|0:0:0:0:0:1|1:1:1:0:1:1,ami,1,1:2:3:4,False
blaCMY-4_1_LNHZ01000079:blaCMY-68_1_JN714480|1:0|1:0|1:0|1:1,blm,1,1:1:1:2,False
blaNDM-1_1_FN396876|1|1|1|1,blm,4,1:1:1:1,True
blaOXA-2_1_DQ112222|1|1|1|1,blm,2,1:1:1:1,True
blaTEM-208_1_KC865667|1|1|1|1,blm,1,1:1:1:1,True
aac(6')-Ib-cr_1_DQ303918|0|0|1|1,qui,1,1:1:2:2,False
aac(6')-Ib-cr_1_DQ303918:aac(6')-Ib11_1_AY136758:aac(6')-Ib3_1_X60321|0:0:0|0:0:1|1:1:0|1:0:0,ami,1,1:2:3:4,False
aadA11_2_AJ567827:aadA15_1_DQ393783:aadA1_3_JQ414041:aadA1_5_JX185132:aadA24_1_AM711129:aadA2_1_NC_010870:aadA2_2_JQ364967:aadA5_1_AF137361:ant(3'')-Ia_1_X02340|0:0:0:0:0:1:0:1:1|0:0:0:1:0:0:1:1:0|0:0:0:0:0:0:1:1:1|1:1:1:0:1:0:1:1:0,ami,1,1:2:3:4,False
armA_1_AY220558|1|1|1|1,ami,3,1:1:1:1,True
dfrA17_1_FJ460238:dfrA29_1_AM237806|1:1|1:1|1:1|1:1,tri,1,1:1:1:1,True
